year,code,activity,fund_type_id,division_id,Cost Centres,AMERT Code,Fund,funder_id,uploaded_budget,budget_approved,budget_balance,is_active
2025,CDC0102001MB,Support the Regional Ministerial Steering Committee Meeting (ReTAC) in Central Africa RCC,1,1,70007102,1.5.1.05,PB-WDB12,1,"81,431","127,786","127,786",1
2025,CDC0102002MB,Support the Regional Technical Advisory Committee meeting (ReSCO) for Central RCC,1,1,70007102,1.5.1.10,PB-WDB12,1,"110,684","276,309","276,309",1
2025,CDC0102003MB,"Support engagement with AU MS, RECs & in-country engagement in Central Africa RCC",1,1,70007102,1.5.2.05,PB-WDB12,1,"136,864","136,864","136,864",1
2025,CDC0102004MB,Coordination Support of RISLNET activities in the RCCs in Central Africa RCC,1,1,70007102,1.5.2.10,PB-WDB12,1,"80,792","98,634","98,634",1
2025,CDC0103001MB,Support the Regional Ministerial Steering Committee Meeting (ReTAC) in East Africa RCC,1,5,70007103,1.5.1.02,PB-WDB12,1,"128,289","204,204","204,204",1
2025,CDC0103002MB,Support the Regional Technical Advisory Committee meeting (ReSCO) for Eastern RCC,1,5,70007103,1.5.1.07,PB-WDB12,1,"148,479","242,536","242,536",1
2025,CDC0103003MB,"Support engagement with AU MS, RECs & in-country engagement in Eastern Africa RCC",1,5,70007103,1.5.2.02,PB-WDB12,1,"83,954","83,954","83,954",1
2025,CDC0103004MB,Coordination and Support of RISLNET activities in the RCCs in Eastern Africa RCC,1,5,70007103,1.5.2.07,PB-WDB12,1,"157,644","303,974","303,974",1
2025,CDC0103005MB,"Support the Operationalization of the RCC (Communication, Internet, Office supplies, Utilities, ICT, Stationery, Security) in Eastern Africa RCC",1,5,70007103,1.5.1.16,PB-WDB12,1,"148,205","407,353","407,353",1
2025,CDC0104001MB,Support the Regional Ministerial Steering Committee Meeting (ReTAC) in Northern Africa RCC,1,9,70007104,1.5.1.01,PB-WDB12,1,"121,136","121,136","121,136",1
2025,CDC0104003MB,"Support engagement with AU MS, RECs & in-country engagement in Northern Africa RCC",1,9,70007104,1.5.2.01,PB-WDB12,1,"253,652","397,616","397,616",1
2025,CDC0104004MB,Coordination and Support of RISLNET activities in the RCCs in Northern Africa RCC,1,9,70007104,1.5.2.06,PB-WDB12,1,"56,012","96,330","96,330",1
2025,CDC0105001MB,Support the Regional Ministerial Steering Committee Meeting (ReTAC) in Southern Africa RCC,1,13,70007105,1.5.1.03,PB-WDB12,1,"90,619","189,596","189,596",1
